name,city,stadium,level
Zenit,Saint Petersburg,Krestovsky Stadium,0.90
CSKA Moscow,Moscow,VEB Arena,0.89
PFC Sochi,Sochi,Fisht Olympic Stadium,0.75
Spartak Moscow,Moscow,Otkrytiye Arena,0.87
FC Rostov,Rostov,Rostov Arena,0.72
Dynamo Moscow,Moscow,VTB Arena,0.80
Lokomotiv Moscow,Moscow,RZD Arena,0.91
Rubin Kazan,Kazan,Ak Bars Arena,0.79
Krasnodar,Krasnodar,Krasnodar Stadium,0.77
Khimki,Khimki,Arena Khimki,0.67
FC Akhmat Grozny,Grozny,Akhmat Arena,0.65
FC Ural, Yekaterinburg,Central Stadium,0.66
Rotor,Volgograd,Volgograd Arena,0.60
Arsenal Tula,Tula,Arsenal Stadium, 0.61
FC Ufa,Ufa,Neftyanik Stadium,0.59
Tambov,Tambov,Spartak Stadium,0.57
